MGID,GHID,MXSineMax,MYSineMax,MXAcelMax,MYAcelMax,MZAcelMax,MXSineAvg,MYSineAvg,MXAcelAvg,MYAcelAvg,MZAcelAvg,MXSineMin,MYSineMin,MXAcelMin,MYAcelMin,MZAcelMin,MTime
8879,5,0.011349,0.014825,9.63E-03,-1.33E-02,3.70E-04,3.76E-03,6.35E-03,8.46E-03,-0.015165,-1.57E-03,-3.46E-03,-9.67E-04,7.04E-03,-1.67E-02,-3.70E-03,26:16.5
8880,7,2.57E-02,3.38E-02,-2.07E-02,-7.41E-03,-3.70E-03,1.89E-02,2.42E-02,-0.022192,-9.16E-03,-5.60E-03,0.012558,0.015979,-2.37E-02,-1.11E-02,-7.41E-03,35:32.4
8881,8,2.67E-02,2.97E-02,-2.96E-03,5.44E-02,3.70E-04,0.01643,2.09E-02,-4.42E-03,0.052308,-1.14E-03,7.01E-03,0.011478,-5.93E-03,5.07E-02,-2.96E-03,35:39.8
8882,6,0.018425,0.031992,-0.026667,-1.85E-02,-6.30E-03,8.75E-03,2.08E-02,-2.79E-02,-2.04E-02,-8.31E-03,-1.59E-03,0.009554,-0.029259,-0.021852,-0.01,36:43.5
8883,5,1.15E-02,1.46E-02,9.63E-03,-1.33E-02,0,4.78E-03,6.42E-03,8.47E-03,-0.015151,-0.001567,-3.01E-03,-2.20E-03,7.04E-03,-0.017037,-0.003333,36:47.2
8884,7,2.61E-02,3.26E-02,-2.07E-02,-7.41E-03,-4.07E-03,0.019281,2.36E-02,-2.22E-02,-9.15E-03,-5.60E-03,0.012446,1.59E-02,-2.37E-02,-1.07E-02,-7.41E-03,46:02.2
8885,8,2.77E-02,3.14E-02,-2.96E-03,5.37E-02,7.41E-04,0.018778,0.020003,-4.43E-03,0.052322,-1.13E-03,9.38E-03,8.35E-03,-5.93E-03,5.04E-02,-2.96E-03,46:08.2
8886,6,1.64E-02,3.29E-02,-0.026667,-1.85E-02,-6.67E-03,8.54E-03,2.15E-02,-2.79E-02,-0.020357,-8.30E-03,-3.42E-04,9.51E-03,-0.029259,-2.22E-02,-0.01,47:14.3
8887,5,0.013105,0.017332,9.63E-03,-1.33E-02,0,6.06E-03,7.43E-03,8.46E-03,-0.015171,-1.58E-03,-1.16E-03,-0.001281,7.41E-03,-1.74E-02,-0.003333,47:17.9
8888,7,2.61E-02,3.26E-02,-2.07E-02,-7.41E-03,-3.70E-03,0.019372,2.43E-02,-2.22E-02,-9.14E-03,-5.59E-03,0.010142,1.65E-02,-2.37E-02,-1.07E-02,-7.41E-03,56:32.3
8889,8,2.89E-02,3.22E-02,-2.59E-03,5.41E-02,7.41E-04,1.77E-02,0.020527,-4.43E-03,5.23E-02,-0.001139,7.00E-03,0.006084,-5.56E-03,5.04E-02,-2.96E-03,56:36.7
