지점,지점명,TIME,기온(°C),풍속(m/s)
138,포항,20-1-19 10:00,3.2,3.3
138,포항,20-1-19 11:00,4.3,2.2
138,포항,20-1-19 12:00,6,3
138,포항,20-1-19 13:00,8,4.3
138,포항,20-1-19 14:00,9.2,3.1
138,포항,20-1-19 15:00,8.3,3.5
138,포항,20-1-19 16:00,8.8,2.9
138,포항,20-1-19 17:00,8.4,4.6
138,포항,20-1-19 18:00,7.6,2.8
138,포항,20-1-19 19:00,7.2,3.7
138,포항,20-1-19 20:00,6.3,1.8
138,포항,20-1-19 21:00,5.3,1.2
138,포항,20-1-19 22:00,5,2.3
138,포항,20-1-19 23:00,4.7,2.1
138,포항,20-1-20 0:00,4.2,2.3
138,포항,20-1-20 1:00,4,2.5
138,포항,20-1-20 2:00,3.7,1.2
138,포항,20-1-20 3:00,3.2,2.1
138,포항,20-1-20 4:00,3.1,2.6
138,포항,20-1-20 5:00,2.9,2
138,포항,20-1-20 6:00,2.4,0.9
138,포항,20-1-20 7:00,2.8,1.5
138,포항,20-1-20 8:00,2.7,2.3
138,포항,20-1-20 9:00,3.5,1.6
138,포항,20-1-20 10:00,5.4,2.8
138,포항,20-1-20 11:00,6.9,1.9
138,포항,20-1-20 12:00,7.3,4.4
138,포항,20-1-20 13:00,8.2,3.4
138,포항,20-1-20 14:00,8.1,5.7
138,포항,20-1-20 15:00,8.5,4.4
138,포항,20-1-20 16:00,8.2,3.9
138,포항,20-1-20 17:00,7.2,3.3
138,포항,20-1-20 18:00,5.9,1.3
138,포항,20-1-20 19:00,5.1,1.9
138,포항,20-1-20 20:00,4.6,1.4
138,포항,20-1-20 21:00,4.5,2.3
138,포항,20-1-20 22:00,4.4,2.3
138,포항,20-1-20 23:00,3.6,2.1
138,포항,20-1-21 0:00,3.1,3.1
138,포항,20-1-21 1:00,2.4,2.6
138,포항,20-1-21 2:00,1.8,2.6
138,포항,20-1-21 3:00,1.1,1.9
138,포항,20-1-21 4:00,0.4,2.2
138,포항,20-1-21 5:00,-0.2,1.8
138,포항,20-1-21 6:00,-0.6,2.4
138,포항,20-1-21 7:00,-0.9,2.9
138,포항,20-1-21 8:00,-1.3,2.6
138,포항,20-1-21 9:00,0,2.8
138,포항,20-1-21 10:00,2.1,2.8
138,포항,20-1-21 11:00,4.1,2.3
138,포항,20-1-21 12:00,5.9,1.5
138,포항,20-1-21 13:00,7.1,1.4
138,포항,20-1-21 14:00,7.5,2.5
138,포항,20-1-21 15:00,8.1,0.9
138,포항,20-1-21 16:00,7.2,3.2
138,포항,20-1-21 17:00,7.1,2.1
138,포항,20-1-21 18:00,6.3,2.9
138,포항,20-1-21 19:00,6.2,2.8
138,포항,20-1-21 20:00,5,2
138,포항,20-1-21 21:00,4.3,2.1
138,포항,20-1-21 22:00,4,2.4
138,포항,20-1-21 23:00,3.8,2.6
138,포항,20-1-22 0:00,3.7,2.4
138,포항,20-1-22 1:00,3.4,1.7
138,포항,20-1-22 2:00,3.3,2
138,포항,20-1-22 3:00,3.5,1.5
138,포항,20-1-22 4:00,3.7,2
138,포항,20-1-22 5:00,3.5,2.2
138,포항,20-1-22 6:00,3.4,1.3
138,포항,20-1-22 7:00,3.6,1.7
138,포항,20-1-22 8:00,3.7,2
138,포항,20-1-22 9:00,4.2,2
138,포항,20-1-22 10:00,4.7,1.5
138,포항,20-1-22 11:00,5.6,2
138,포항,20-1-22 12:00,7.3,1.7
138,포항,20-1-22 13:00,8.3,1.4
138,포항,20-1-22 14:00,8.6,1.4
138,포항,20-1-22 15:00,8.7,1.2
138,포항,20-1-22 16:00,8.2,0.7
138,포항,20-1-22 17:00,7.9,1.2
138,포항,20-1-22 18:00,7.5,1
138,포항,20-1-22 19:00,7.4,0.9
138,포항,20-1-22 20:00,7,0.7
138,포항,20-1-22 21:00,6.9,0.8
138,포항,20-1-22 22:00,6.7,0.4
138,포항,20-1-22 23:00,6.4,1.5
138,포항,20-1-23 0:00,6.5,1
138,포항,20-1-23 1:00,6.6,0.1
138,포항,20-1-23 2:00,6.8,0.6
138,포항,20-1-23 3:00,7.2,1.5
138,포항,20-1-23 4:00,7.3,1.7
138,포항,20-1-23 5:00,7.3,1.2
138,포항,20-1-23 6:00,7.4,1.9
138,포항,20-1-23 7:00,7.2,1.5
138,포항,20-1-23 8:00,7.1,1.3
138,포항,20-1-23 9:00,7.3,1.5
138,포항,20-1-23 10:00,7.4,1.4
138,포항,20-1-23 11:00,7.8,1.7
138,포항,20-1-23 12:00,8.4,1.3
138,포항,20-1-23 13:00,8.8,1.6
138,포항,20-1-23 14:00,9.1,1.2
138,포항,20-1-23 15:00,9.6,0.6
138,포항,20-1-23 16:00,10.1,1
138,포항,20-1-23 17:00,10.1,1
